ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11224528,JB139059,2/1/18 15:30,086XX S NORMAL AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,622,6,21,71,08A,,,2018,2/8/18 15:51,,,
11224487,JB143489,2/1/18 10:30,057XX W DIVISION ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,2531,25,29,25,26,1137711,1907414,2018,2/8/18 15:51,41.90208533,-87.76961417,"(41.90208533, -87.769614169)"
11224398,JB142404,2/1/18 1:30,008XX W 118TH ST,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,524,5,34,53,08A,1172792,1826599,2018,2/8/18 15:51,41.67961532,-87.64313993,"(41.679615324, -87.643139927)"
11224342,JB143277,2/1/18 0:00,030XX S WALLACE ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,OTHER,FALSE,FALSE,914,9,11,60,11,1172787,1884827,2018,2/8/18 15:51,41.83940027,-87.64144397,"(41.839400265, -87.641443968)"
11224332,JB143298,2/1/18 10:00,069XX S DANTE AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,APARTMENT,FALSE,FALSE,332,3,5,43,11,1187155,1859355,2018,2/8/18 15:51,41.76917361,-87.58952958,"(41.769173605, -87.589529584)"
11224322,JB138093,2/1/18 20:30,055XX S PERRY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,225,2,3,40,08B,,,2018,2/8/18 15:51,,,
11224241,JB143140,2/1/18 21:00,027XX S PRAIRIE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,133,1,2,35,7,1178499,1886506,2018,2/8/18 15:51,41.84387939,-87.62043259,"(41.843879386, -87.620432585)"
11224238,JB143094,2/1/18 14:00,040XX W 80TH PL,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,FALSE,834,8,13,70,2,1151044,1850835,2018,2/8/18 15:51,41.74657401,-87.72211817,"(41.746574008, -87.722118168)"
11224235,JB143114,2/1/18 10:00,097XX S COMMERCIAL AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,TRUE,431,4,10,51,26,1197829,1840916,2018,2/8/18 15:51,41.71831564,-87.55101901,"(41.718315644, -87.551019008)"
11224233,JB143078,2/1/18 18:00,026XX S KEDZIE AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,FALSE,FALSE,1032,10,22,30,26,1155448,1886393,2018,2/8/18 15:51,41.84406321,-87.70502837,"(41.844063211, -87.705028372)"
